LAST NAME,FIRST NAME,SHOW,"OG or REVIVAL","OPENING DATE","CLOSING DATE","# of PERFORMANCES",POSITION,"OG or REPLACEMENT","START DATE","END DATE","FUN FACTS and NOTES"
Bobbitt Cavett,Wendy,Come From Away,,03/12/2017,10/02/2022,"1,669",Music Director/Conductor,Replacement,2018,End of run,
Grigsby,Kimberly,Amélie,,04/03/2017,05/21/2017,56,Music Director/Conductor,,,,
Anschutz,Sue,Charlie and the Chocolate Factory,,04/23/2017,01/14/2018,305,Assistant Conductor,Replacement,2017,End of run,
Grody,Andrea,The Band's Visit,,11/09/2017,04/07/2019,588,Co-Music Supervisor,,,,
Grody,Andrea,The Band's Visit,,11/09/2017,04/07/2019,588,Music Director/Conductor,,,,
Victory,Annastasia,Once on This Island,Revival,12/03/2017,01/06/2019,457,Substitute Conductor,,,,
McBride,Julie,SpongeBob Square Pants,,12/04/2017,09/16/2018,327,Music Director/Conductor,,,,
duChateau,Annbritt,Frozen,,03/22/2018,03/11/2020,825,Associate Music Director/Associate Conductor,Replacement,June 2018,,
Campbell,Mary-Mitchell,Mean Girls,,04/08/2018,03/11/2020,804,Music Director/Conductor,,,,
Doran,Elizabeth,Mean Girls,,04/08/2018,03/11/2020,804,Associate Conductor,Replacement,2018,,
Zervoulis Bate,Meg,Mean Girls,,04/08/2018,03/11/2020,804,Associate Conductor,,,,
Barsha,Debra,Summer: The Donna Summer Musical,,04/23/2018,12/20/2018,288,Associate Conductor,,,,
Theodore,Victoria,Summer: The Donna Summer Musical,,04/23/2018,12/20/2018,288,Music Director,,,,
Thompson,Alyssa Kay,Summer: The Donna Summer Musical,,04/23/2018,12/20/2018,288,Alternate Conductor,Replacement,2018,,
Cardona,Jane,Head Over Heels,,07/26/2018,01/06/2019,188,Associate Music Director/Associate Conductor,,,,
Cardona,Jane,Head Over Heels,,07/26/2018,01/06/2019,188,Music Director/Conductor,Replacement,2018,End of run,
Grigsby,Kimberly,Head Over Heels,,07/26/2018,01/06/2019,188,Music Director/Conductor,,,,
Marshall,Emily,Head Over Heels,,07/26/2018,01/06/2019,188,Associate Music Director/Associate Conductor,Replacement,2018,,
McBride,Julie,Head Over Heels,,07/26/2018,01/06/2019,188,Music Director/Conductor,Replacement,2018,,
McBride,Julie,Pretty Woman,,08/16/2018,08/18/2019,420,Associate Conductor,Replacement,??,,
Campbell,Mary-Mitchell,The Prom,,11/15/2018,08/11/2019,309,Music Supervisor,,,,
Zervoulis Bate,Meg,The Prom,,11/15/2018,08/11/2019,309,Music Director/Conductor,,,,
Grigsby,Kimberly,To Kill a Mockingbird,,12/13/2018,01/16/2022,626,Music Director/Conductor,,,,
Marshall,Emily,Be More Chill,,03/10/2019,08/11/2019,177,Music Director/Conductor,,,,
Meng,Cynthia,Hadestown,,04/17/2019,,,Alternate Conductor,,,,
Grody,Andrea,Tootsie,,04/23/2019,01/05/2020,293,Co-Music Supervisor,,,,
Grody,Andrea,Tootsie,,04/23/2019,01/05/2020,293,Music Director/Conductor,,,,
Cardona,Jane,Moulin Rouge! The Musical,,07/25/2019,,,Substitute Conductor,,2021,,
Ling,Lily,Moulin Rouge! The Musical,,07/25/2019,,,Music Director/Conductor,Replacement,April 2023,June 2023,
McBride,Julie,Moulin Rouge! The Musical,,07/25/2019,,,Music Director/Conductor,Replacement,2021,,
Moore,Jodie,Tina: The Tina Turner Musical,,11/07/2019,08/14/2022,482,Substitute Conductor,,2022,,
Victory,Annastasia,Tina: The Tina Turner Musical,,11/07/2019,08/14/2022,482,Substitute Conductor,,,,
Campbell,Mary-Mitchell,Kristen Chenoweth: For the Girls,,11/08/2019,11/17/2019,8,Music Director/Conductor,,,,
Cardona,Jane,Jagged Little Pill,,12/05/2019,12/17/2021,171,Substitute Conductor,,2019,,
Marshall,Emily,Jagged Little Pill,,12/05/2019,12/17/2021,171,Associate Music Director/Associate Conductor,Replacement,2021,,
Zervoulis Bate,Meg,West Side Story,Revival,02/20/2020,03/11/2020,24,Associate Conductor,,,,
DiGiallonardo,Nadia,Waitress,Re-opening after pandemic,09/02/2021,12/20/2021,122,Music Supervisor/Conductor,,,,
Gatchell,Mary,Waitress,Re-opening after pandemic,09/02/2021,12/20/2021,122,Substitute Conductor,,Sept.2021,Dec.2021,
Duchak,Roberta,Six,,10/03/2021,,,Music Supervisor,,,,
Schade,Julia,Six,,10/03/2021,,,Music Director/Conductor,,,,
Benson,Madeline,Six,,10/03/2021,,,Substitute Conductor,,2022,2023,
Brennan,Kerianne,Six,,10/03/2021,,,Substitute Conductor,,2024,,
Cardona,Jane,Six,,10/03/2021,,,Substitute Conductor,,2022,2022,
Cardona,Jane,Six,,10/03/2021,,,Substitute Conductor,,Dec.2024,,
Coleman,Katie,Six,,10/03/2021,,,Substitute Conductor,,2023,,
Crosby,Alex,Six,,10/03/2021,,,Substitute Conductor,,2022,Feb.2025,
Doran,Elizabeth,Six,,10/03/2021,,,Associate Music Director,,2021,Dec.2022,
Doran,Elizabeth,Six,,10/03/2021,,,Substitute Conductor,,2021,Dec.2022,
Ebbeson,Anna,Six,,10/03/2021,,,Substitute Conductor,,2024,,
Gatchell,Mary,Six,,10/03/2021,,,Substitute Conductor,,2021,2022,
Golden,Alex (Goldie),Six,,10/03/2021,,,Associate Music Director,Replacement,March 2025,,
Hutch,Dani Lee,Six,,10/03/2021,,,Substitute Conductor,,March 2025,,
Maze,Valerie,Six,,10/03/2021,,,Associate Music Director,Replacement,Dec.2023,,
Maze,Valerie,Six,,10/03/2021,,,Substitute Conductor,,Dec.2023,,
Moore,Jodie,Six,,10/03/2021,,,Substitute Conductor,,2022,2022,
Rosso,Jessie,Six,,10/03/2021,,,Substitute Conductor,,2022,,
Victory,Annastasia,"Caroline, or Change",Revival,10/27/2021,01/09/2022,85,Associate Music Director/Associate Conductor,,,,
Bennett,Haley,"Diana, The Musical",,11/11/2021,12/19/2021,34,Associate Music Director,,,,
Bennett,Haley,"Diana, The Musical",,11/11/2021,12/19/2021,34,Alternate Conductor,,,,
Meng,Cynthia,Company,Revival,12/09/2021,07/31/2022,265,Alternate Conductor,,,,
Grigsby,Kimberly,Flying Over Sunset,,12/13/2021,01/16/2022,35,Music Director/Conductor,,,,
Victory,Annastasia,MJ The Musical,,02/01/2022,,,Substitute Conductor,,,,
Atkins,Ilana M.,Mrs.Doubtfire,,04/19/2022,05/29/2022,48,Associate Conductor,,,,
Meng,Cynthia,Funny Girl,Revival,04/24/2022,09/03/2023,569,Alternate Conductor,,,,
Zervoulis Bate,Meg,Funny Girl,Revival,04/24/2022,09/03/2023,569,Associate Music Director/Associate Conductor,,,,
Siddiqui,Rona,A Strange Loop,,04/26/2022,01/15/2023,293,Music Supervisor,,,,
Siddiqui,Rona,A Strange Loop,,04/26/2022,01/15/2023,293,Music Director/Conductor,,,,
Thompson,Alyssa Kay,1776,Revival,10/06/2022,01/08/2023,105,Associate Music Director,,,,
Thompson,Alyssa Kay,1776,Revival,10/06/2022,01/08/2023,105,Alternate Conductor,,,,
Delano,Leigh,Kimberly Akimbo,,11/10/2022,04/28/2024,612,Substitute Conductor,,Dec.2023,Feb.2024,
Bennett,Haley,& Juliet,,11/17/2022,,,Associate Music Director/Associate Conductor,,,,
Bennett,Haley,& Juliet,,11/17/2022,,,Music Director/Conductor,Replacement,10/24/2023,,
Kim-Ramsey,Sujin,KPOP,,11/27/2022,12/11/2022,17,Music Director/Conductor,,,,
Morton,Amanda,KPOP,,11/27/2022,12/11/2022,17,Associate Music Director/Associate Conductor,,,,
Campbell,Mary-Mitchell,Some Like It Hot,,12/11/2022,12/30/2023,441,Music Supervisor,,,,
duChateau,Annbritt,Some Like It Hot,,12/11/2022,12/30/2023,441,Associate Conductor,,Opening,May 2023,
Blodgette,Kristen,Bad Cinderella,,03/23/2023,06/04/2023,85,Music Supervisor,,,,
Blodgette,Kristen,Bad Cinderella,,03/23/2023,06/04/2023,85,Music Director/Conductor,,,,
Blodgette,Kristen,Sweeney Todd,Revival,03/26/2023,05/05/2024,406,Music Director/Conductor,Replacement,Aug.2023,End of run,
Grigsby,Kimberly,Camelot,Revival,04/13/2023,07/23/2023,116,Music Director/Conductor,,,,
Ebbesen,Anna,Once Upon a One More Time,,06/22/2023,09/03/2023,83,Associate Conductor,,,,
Meng,Cynthia,Back to the Future,,08/03/2023,01/05/2025,597,Assistant Conductor,,,,
Jayes,Catherine,Merrily We Roll Along,Revival,10/10/2023,07/07/2024,312,Music Supervisor,,,,
Morton,Amanda,Gutenberg! The Musical,,10/12/2023,01/28/2024,125,Associate Conductor,,,,
D'Angelo,Nicole,How to Dance in Ohio,,12/10/2023,02/11/2024,72,Assistant Music Director,,,,
Ling,Lily,How to Dance in Ohio,,12/10/2023,02/11/2024,72,Music Director/Conductor,,,,
Grigsby,Kimberly,Days of Wine and Roses,,01/28/2024,03/31/2024,73,Music Director/Conductor,,,,
Morton,Amanda,The Who's Tommy,Revival,03/08/2024,07/21/2024,132,Assistant Conductor,,,,
Dean,Carmel,The Notebook,,03/14/2024,12/15/2024,317,Music Supervisor,,,,
Golden,"Alex ""Goldie""",The Notebook,,03/14/2024,12/15/2024,317,Associate Conductor,,,,
Moore,Jodie,The Notebook,,03/14/2024,12/15/2024,317,Substitute Conductor,,,,
Campbell,Mary-Mitchell,Water for Elephants,,03/21/2024,12/08/2024,301,Co-Music Supervisor,,,,
Doran,Elizabeth,Water for Elephants,,03/21/2024,12/08/2024,301,Music Director/Conductor,,,,
Meng,Cynthia,The Outsiders,,04/11/2024,,,Alternate Conductor,,,,
Yohe,Andrea,The Outsiders,,04/11/2024,,,Substitute Conductor,,"Sept., 2024",,
Meng,Cynthia,Lempicka,,04/14/2024,05/19/2024,41,Associate Music Director/Associate Conductor,,,,
Wicks,Charity,Lempicka,,04/14/2024,05/19/2024,41,Music Director/Conductor,,,,
Grody,Andrea,Suffs,,04/18/2024,01/05/2025,301,Music Supervisor,,,,
Grody,Andrea,Suffs,,04/18/2024,01/05/2025,301,Music Director/Conductor,,,,
Thompson,Alyssa Kay,Suffs,,04/18/2024,01/05/2025,301,Substitute Conductor,Replacement,2024,,
Whitaker,Emily,Suffs,,04/18/2024,01/05/2025,301,Associate Music Director/Associate Conductor,,,,
Whyte,Jennifer,Cabaret,Revival,04/21/2024,,,Music Supervisor,,,,
Whyte,Jennifer,Cabaret,Revival,04/21/2024,,,Music Director/Conductor,,,,
Zervoulis Bate,Meg,Cabaret,Revival,04/21/2024,,,Associate Music Director,,,,
Zervoulis Bate,Meg,Cabaret,Revival,04/21/2024,,,Music Director/Conductor,Replacement,2024,,
Ling,Lily,Hell's Kitchen,,04/24/2024,,,Music Director/Conductor,,,,
Campbell,Mary-Mitchell,Once Upon a Mattress,Revival,08/12/2024,11/30/2024,128,Music Supervisor,,,,
duChateau,Annbritt,Once Upon a Mattress,Revival,08/12/2024,11/30/2024,128,Music Director/Conductor,,,,
Wicks,Charity,Once Upon a Mattress,Revival,08/12/2024,11/30/2024,128,Associate Music Director/Associate Conductor,,,,
Abramson,Deborah,Maybe Happy Ending,,10/17/2024,,,Music Supervisor,,,,
Moore,Jodie,Tammy Faye,,11/14/2024,12/08/2024,29,Associate Music Director/Associate Conductor,,,,
Campbell,Mary-Mitchell,Death Becomes Her,,11/21/2024,,,Music Supervisor,,,,
Bennett,Haley,Redwood,,02/13/2025,,,Associate Music Supervisor,,,,
McBride,Julie,Redwood,,02/13/2025,,,Music Director/Conductor,,,,
duChateau,Annbritt,Stephen Sondheim's Old Friends,,04/08/2025,,,Music Director,,,,
